  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x7114048b4322             62             14   4.43  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x711404989290           1091            260   4.20  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::read_symlink                                                            std::filesystem::read_symlink                                                           
0x7114048b3b0f             55             13   4.23  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::read_symlink.cold                                                       std::filesystem::read_symlink.cold                                                      
0x71140498e670            196             62   3.16  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::relative                                                                std::filesystem::relative                                                               
0x7114048b42a2             44             10   4.40  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::relative.cold                                                           std::filesystem::relative.cold                                                          
0x7114049885b0            227             72   3.15  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::remove_all                                                              std::filesystem::remove_all                                                             
0x7114048b34eb            154             36   4.28  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::remove_all.cold                                                         std::filesystem::remove_all.cold                                                        
0x711404989130            338            128   2.64  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::temp_directory_path[abi:cxx11]                                          std::filesystem::temp_directory_path[abi:cxx11]                                         
0x711404989cd0            397            105   3.78  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::temp_directory_path[abi:cxx11]                                          std::filesystem::temp_directory_path[abi:cxx11]                                         
0x7114048b3a08            170             36   4.72  unknown    unknown ../../../../../libstdc++-v3/src/c++17/fs_ops.cc                          std::filesystem::temp_directory_path[abi:cxx11].cold                                     std::filesystem::temp_directory_path[abi:cxx11].cold                                    
